Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-19.1679
7.1427e-05	3	0	0	16.7502
0.00507143	1	0	0	-18.4597
0.00507143	3	0	0	11.8559
0.0100714	1	0	0	-18.4597
0.0100714	3	0	0	11.8559
0.0150714	1	0	0	-18.4597
0.0150714	3	0	0	11.8559
0.0200714	1	0	0	-18.4597
0.0200714	3	0	0	11.8559
0.0250714	1	1	0	-18.4597
0.0250714	3	1	0	11.8559
0.0300714	1	1	0	-18.4597
0.0300714	3	1	0	11.8559
0.0350714	1	1	0	-18.4597
0.0350714	3	1	0	11.8559
0.0400714	1	1	0	-18.4597
0.0400714	3	1	0	11.8559
0.0450714	1	1	0	-18.4597
0.0450714	3	1	0	11.8559
0.0500714	1	1	0	-18.4597
0.0500714	3	1	0	11.8559
0.0550714	1	1	0	-18.4597
0.0550714	3	1	0	11.8559
0.0560714	1	1	0	7.80791
0.0600714	1	1	0	-18.4597
0.0600714	3	1	0	11.8559
0.0650714	1	1	0	-18.4597
0.0650714	3	1	0	11.8559
0.0700714	1	1	0	-18.4597
0.0700714	3	1	0	11.8559
0.0750714	1	1	0	-18.4597
0.0750714	3	1	0	11.8559
0.0790714	3	1	0	58.0562
0.0800714	1	1	0	-18.4597
0.0800714	3	1	0	11.8559
0.0850714	1	1	0	-18.4597
0.0850714	3	1	0	11.8559
0.0900714	1	1	0	-18.4597
0.0900714	3	1	0	11.8559
0.0950714	1	1	0	-18.4597
0.0950714	3	1	0	11.8559
0.100071	1	1	0	-18.1901
0.100071	3	1	0	24.0017
0.105071	1	1	0	-18.1901
0.105071	3	1	0	24.0017
0.110071	1	1	0	-18.1901
0.110071	3	1	0	24.0017
0.115071	1	1	0	-18.1901
0.115071	3	1	0	24.0017
0.120071	1	1	0	-18.1901
0.120071	3	1	0	24.0017
0.125071	1	1	0	-18.1901
0.125071	3	1	0	24.0017
0.130071	1	1	0	-18.1901
0.130071	3	1	0	24.0017
0.135071	1	1	0	-18.1901
0.135071	3	1	0	24.0017
0.136071	1	1	0	8.91451
0.140071	1	1	0	-18.1901
0.140071	3	1	0	24.0017
0.145071	1	1	0	-18.1901
0.145071	3	1	0	24.0017
0.150071	1	1	0	-18.1901
0.150071	3	1	0	24.0017
0.155071	1	1	0	-18.1901
0.155071	3	1	0	24.0017
0.159071	3	1	0	61.6913
0.160071	1	1	0	-18.1901
0.160071	3	1	0	24.0017
0.165071	1	1	0	-18.1901
0.165071	3	1	0	24.0017
0.170071	1	1	0	-18.1901
0.170071	3	1	0	24.0017
0.175071	1	1	0	-18.1901
0.175071	3	1	0	24.0017
0.180071	1	1	0	-18.1901
0.180071	3	1	0	24.0017
0.185071	1	1	0	-18.1901
0.185071	3	1	0	24.0017
0.190071	1	1	0	-18.1901
0.190071	3	1	0	24.0017
0.195071	1	1	0	-18.1901
0.195071	3	1	0	24.0017
0.200071	1	1	0	-18.1901
0.200071	3	1	0	24.0017
0.205071	1	1	0	-18.1901
0.205071	3	1	0	24.0017
0.210071	1	1	0	-18.1901
0.210071	3	1	0	24.0017
0.215071	1	1	0	-18.1901
0.215071	3	1	0	24.0017
0.216071	1	1	0	8.91451
0.220071	1	1	0	-18.1901
0.220071	3	1	0	24.0017
0.225071	1	1	0	-18.1901
0.225071	3	1	0	24.0017
0.230071	1	1	0	-18.1901
0.230071	3	1	0	24.0017
0.235071	1	1	0	-18.1901
0.235071	3	1	0	24.0017
0.239071	3	1	0	61.6913
0.240071	1	1	0	-18.1901
0.240071	3	1	0	24.0017
0.245071	1	1	0	-18.1901
0.245071	3	1	0	24.0017
0.250071	1	1	0	-18.1901
0.250071	3	1	0	24.0017
0.255071	1	1	0	-18.1901
0.255071	3	1	0	24.0017
0.260071	1	1	0	-18.1901
0.260071	3	1	0	24.0017
0.265071	1	1	0	-18.1901
0.265071	3	1	0	24.0017
0.270071	1	1	0	-18.1901
0.270071	3	1	0	24.0017
0.275071	1	1	0	-18.1901
0.275071	3	1	0	24.0017
0.280071	1	1	0	-18.1901
0.280071	3	1	0	24.0017
0.285071	1	1	0	-18.1901
0.285071	3	1	0	24.0017
0.290071	1	1	0	-18.1901
0.290071	3	1	0	24.0017
0.295071	1	1	0	-18.1901
0.295071	3	1	0	24.0017
0.296071	1	1	0	8.91451
0.300071	1	1	0	-18.1901
0.300071	3	1	0	24.0017
0.305071	1	1	0	-18.1901
0.305071	3	1	0	24.0017
0.310071	1	1	0	-18.1901
0.310071	3	1	0	24.0017
0.315071	1	1	0	-18.1901
0.315071	3	1	0	24.0017
0.319071	3	1	0	61.6913
0.320071	1	1	0	-18.1901
0.320071	3	1	0	24.0017
0.325071	1	1	0	-18.1901
0.325071	3	1	0	24.0017
0.330071	1	1	0	-18.1901
0.330071	3	1	0	24.0017
0.335071	1	1	0	-18.1901
0.335071	3	1	0	24.0017
0.340071	1	1	0	-18.1901
0.340071	3	1	0	24.0017
0.345071	1	1	0	-18.1901
0.345071	3	1	0	24.0017
0.350071	1	1	0	-18.1901
0.350071	3	1	0	24.0017
0.355071	1	1	0	-18.1901
0.355071	3	1	0	24.0017
0.360071	1	1	0	-18.1901
0.360071	3	1	0	24.0017
0.365071	1	1	0	-18.1901
0.365071	3	1	0	24.0017
0.370071	1	1	0	-18.1901
0.370071	3	1	0	24.0017
0.375071	1	1	0	-18.1901
0.375071	3	1	0	24.0017
0.376071	1	1	0	8.91451
0.380071	1	1	0	-18.1901
0.380071	3	1	0	24.0017
0.385071	1	1	0	-18.1901
0.385071	3	1	0	24.0017
0.390071	1	1	0	-18.1901
0.390071	3	1	0	24.0017
0.395071	1	1	0	-18.1901
0.395071	3	1	0	24.0017
0.399071	3	1	0	61.6913
0.400071	1	1	0	-18.1901
0.400071	3	1	0	24.0017
0.405071	1	1	0	-18.1901
0.405071	3	1	0	24.0017
0.410071	1	1	0	-18.1901
0.410071	3	1	0	24.0017
0.413071	1	1	0	-18.1901
0.413071	3	1	0	24.0017
0.414071	1	1	0	-18.1901
0.414071	3	1	0	24.0017
0.415071	1	1	0	-18.1901
0.415071	3	1	0	24.0017
0.416071	1	1	0	-18.1901
0.416071	3	1	0	24.0017
0.417071	1	1	0	-18.1901
0.417071	3	1	0	24.0017
0.418071	1	1	0	-18.1901
0.418071	3	1	0	24.0017
0.419071	1	1	0	-18.1901
0.419071	3	1	0	24.0017
0.420071	1	1	0	-18.1901
0.420071	3	1	0	24.0017
0.421071	1	1	0	8.91451
0.422071	1	1	0	8.91451
0.423071	1	1	0	8.91451
0.424071	1	1	0	8.91451
0.425071	1	1	0	-18.1901
0.425071	3	1	0	24.0017
0.430071	1	1	0	-18.1901
0.430071	3	1	0	24.0017
0.435071	1	1	0	-18.1901
0.435071	3	1	0	24.0017
0.440071	1	1	0	-18.1901
0.440071	3	1	0	24.0017
0.445071	1	1	0	-18.1901
0.445071	3	1	0	24.0017
0.450071	1	1	0	-18.1901
0.450071	3	1	0	24.0017
0.455071	1	1	0	-18.1901
0.455071	3	1	0	24.0017
0.456071	1	1	0	8.91451
0.460071	1	1	0	-18.1901
0.460071	3	1	0	24.0017
0.465071	1	1	0	-18.1901
0.465071	3	1	0	24.0017
0.470071	1	1	0	-18.1901
0.470071	3	1	0	24.0017
0.475071	1	1	0	-18.1901
0.475071	3	1	0	24.0017
0.479071	3	1	0	61.6913
0.480071	1	1	0	-18.1901
0.480071	3	1	0	24.0017
0.485071	1	1	0	-18.1901
0.485071	3	1	0	24.0017
0.490071	1	1	0	-18.1901
0.490071	3	1	0	24.0017
0.495071	1	1	0	-18.1901
0.495071	3	1	0	24.0017
0.500071	1	1	0	-18.1901
0.500071	3	1	0	24.0017
0.505071	1	1	0	-18.1901
0.505071	3	1	0	24.0017
0.510071	1	1	0	-18.1901
0.510071	3	1	0	24.0017
0.515071	1	1	0	-18.1901
0.515071	3	1	0	24.0017
0.520071	1	1	0	-18.1901
0.520071	3	1	0	24.0017
0.525071	1	1	0	-18.1901
0.525071	3	1	0	24.0017
0.530071	1	1	0	-18.1901
