Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	2	-119.962
0	3	0	3	-76.2465
0.005	1	0	2	-117.181
0.005	3	0	3	-75.406
0.01	1	0	2	-117.181
0.01	3	0	3	-75.406
0.015	1	0	2	-117.181
0.015	3	0	3	-75.406
0.02	1	0	2	-117.181
0.02	3	0	3	-75.406
0.025	1	0	2	-117.181
0.025	3	0	3	-75.406
0.03	1	0	2	-117.181
0.03	3	0	3	-75.406
0.035	1	0	2	-117.181
0.035	3	0	3	-75.406
0.04	1	0	2	-117.181
0.04	3	0	3	-75.406
0.045	1	0	2	-117.181
0.045	3	0	3	-75.406
0.05	1	0	2	-117.181
0.05	3	0	3	-75.406
0.055	1	0	2	-117.181
0.055	3	0	3	-75.406
0.056	1	0	2	-117.181
0.06	1	0	2	-117.181
0.06	3	0	3	-75.406
0.065	1	0	2	-117.181
0.065	3	0	3	-75.406
0.07	1	0	2	-117.181
0.07	3	0	3	-75.406
0.075	1	0	2	-117.181
0.075	3	0	3	-75.406
0.079	3	0	3	-75.406
0.08	1	0	2	-117.181
0.08	3	0	3	-75.406
0.085	1	0	2	-117.181
0.085	3	0	3	-75.406
0.09	1	0	2	-117.181
0.09	3	0	3	-75.406
0.095	1	0	2	-117.181
0.095	3	0	3	-75.406
0.1	1	0	2	-117.181
0.1	3	0	3	-75.406
0.105	1	0	2	-117.181
0.105	3	0	3	-75.406
0.11	1	0	2	-117.181
0.11	3	0	3	-75.406
0.115	1	0	2	-117.181
0.115	3	0	3	-75.406
0.12	1	0	2	-117.181
0.12	3	0	3	-75.406
0.125	1	0	2	-117.181
0.125	3	0	3	-75.406
0.13	1	0	2	-117.181
0.13	3	0	3	-75.406
0.135	1	0	2	-117.181
0.135	3	0	3	-75.406
0.136	1	0	2	-117.181
0.14	1	0	2	-117.181
0.14	3	0	3	-75.406
0.145	1	0	2	-117.181
0.145	3	0	3	-75.406
0.15	1	0	2	-117.181
0.15	3	0	3	-75.406
0.155	1	0	2	-117.181
0.155	3	0	3	-75.406
0.159	3	0	3	-75.406
0.16	1	0	2	-117.181
0.16	3	0	3	-75.406
0.165	1	0	2	-117.181
0.165	3	0	3	-75.406
0.17	1	0	2	-117.181
0.17	3	0	3	-75.406
0.175	1	0	2	-117.181
0.175	3	0	3	-75.406
0.18	1	0	2	-117.181
0.18	3	0	3	-75.406
0.185	1	0	2	-117.181
0.185	3	0	3	-75.406
0.19	1	0	2	-117.181
0.19	3	0	3	-75.406
0.195	1	0	2	-117.181
0.195	3	0	3	-75.406
0.2	1	0	2	-117.181
0.2	3	0	3	-75.406
0.205	1	0	2	-117.181
0.205	3	0	3	-75.406
0.21	1	0	2	-117.181
0.21	3	0	3	-75.406
0.215	1	0	2	-117.181
0.215	3	0	3	-75.406
0.216	1	0	2	-117.181
0.22	1	0	2	-117.181
0.22	3	0	3	-75.406
0.225	1	0	2	-117.181
0.225	3	0	3	-75.406
0.23	1	0	2	-117.181
0.23	3	0	3	-75.406
0.235	1	0	2	-117.181
0.235	3	0	3	-75.406
0.239	3	0	3	-75.406
0.24	1	0	2	-117.181
0.24	3	0	3	-75.406
0.245	1	0	2	-117.181
0.245	3	0	3	-75.406
0.25	1	0	2	-117.181
0.25	3	0	3	-75.406
0.255	1	0	2	-117.181
0.255	3	0	3	-75.406
0.26	1	0	2	-117.181
0.26	3	0	3	-75.406
0.265	1	0	2	-117.181
0.265	3	0	3	-75.406
0.27	1	0	2	-117.181
0.27	3	0	3	-75.406
0.275	1	0	2	-117.181
0.275	3	0	3	-75.406
0.28	1	0	2	-117.181
0.28	3	0	3	-75.406
0.285	1	0	2	-117.181
0.285	3	0	3	-75.406
0.29	1	0	2	-117.181
0.29	3	0	3	-75.406
0.295	1	0	2	-117.181
0.295	3	0	3	-75.406
0.296	1	0	2	-117.181
0.3	1	0	2	-117.181
0.3	3	0	3	-75.406
0.305	1	0	2	-117.181
0.305	3	0	3	-75.406
0.31	1	0	2	-117.181
0.31	3	0	3	-75.406
0.315	1	0	2	-117.181
0.315	3	0	3	-75.406
0.319	3	0	3	-75.406
0.32	1	0	2	-117.181
0.32	3	0	3	-75.406
0.325	1	0	2	-117.181
0.325	3	0	3	-75.406
0.33	1	0	2	-117.181
0.33	3	0	3	-75.406
0.335	1	0	2	-117.181
0.335	3	0	3	-75.406
0.34	1	0	2	-117.181
0.34	3	0	3	-75.406
0.345	1	0	2	-117.181
0.345	3	0	3	-75.406
0.35	1	0	2	-117.181
0.35	3	0	3	-75.406
0.355	1	0	2	-117.181
0.355	3	0	3	-75.406
0.36	1	0	2	-117.181
0.36	3	0	3	-75.406
0.365	1	0	2	-117.181
0.365	3	0	3	-75.406
0.37	1	0	2	-117.181
0.37	3	0	3	-75.406
0.375	1	0	2	-117.181
0.375	3	0	3	-75.406
0.376	1	0	2	-117.181
0.38	1	0	2	-117.181
0.38	3	0	3	-75.406
0.385	1	0	2	-117.181
0.385	3	0	3	-75.406
0.39	1	0	2	-117.181
0.39	3	0	3	-75.406
0.395	1	0	2	-117.181
0.395	3	0	3	-75.406
0.399	3	0	3	-75.406
0.4	1	0	2	-117.181
0.4	3	0	3	-75.406
0.405	1	0	2	-117.181
0.405	3	0	3	-75.406
0.41	1	0	2	-117.181
0.41	3	0	3	-75.406
0.413	1	0	2	-117.181
0.413	3	0	3	-75.406
0.413071	1	0	2	-117.181
0.413071	3	0	3	-75.406
0.414	1	0	2	-117.181
0.414	3	0	3	-75.406
0.414071	1	0	2	-117.181
0.414071	3	0	3	-75.406
0.415	1	0	2	-117.181
0.415	3	0	3	-75.406
0.415071	1	0	2	-117.181
0.415071	3	0	3	-75.406
0.416	1	0	2	-117.181
0.416	3	0	3	-75.406
0.416071	1	0	2	-117.181
0.416071	3	0	3	-75.406
0.417	1	0	2	-117.181
0.417	3	0	3	-75.406
0.417071	1	0	2	-117.181
0.417071	3	0	3	-75.406
0.418	1	0	2	-117.181
0.418	3	0	3	-75.406
0.418071	1	0	2	-117.181
0.418071	3	0	3	-75.406
0.419	1	0	2	-117.181
0.419	3	0	3	-75.406
0.419071	1	0	2	-117.181
0.419071	3	0	3	-75.406
0.42	1	0	2	-117.181
0.42	3	0	3	-75.406
0.420071	1	0	2	-117.181
0.421	1	0	2	-117.181
0.421071	1	0	2	-117.181
0.422	1	0	2	-117.181
0.422071	1	0	2	-117.181
0.423	1	0	2	-117.181
0.423071	1	0	2	-117.181
0.424	1	0	2	-117.181
0.424071	1	0	2	-117.181
0.425	1	0	2	-117.181
0.425	3	0	3	-75.406
0.425071	1	0	2	-117.181
0.43	1	0	2	-117.181
0.43	3	0	3	-75.406
0.435	1	0	2	-117.181
0.435	3	0	3	-75.406
0.44	1	0	2	-117.181
0.44	3	0	3	-75.406
0.445	1	0	2	-117.181
0.445	3	0	3	-75.406
0.45	1	0	2	-117.181
0.45	3	0	3	-75.406
0.455	1	0	2	-117.181
0.455	3	0	3	-75.406
0.456	1	0	2	-117.181
0.46	1	0	2	-117.181
0.46	3	0	3	-75.406
0.465	1	0	2	-117.181
0.465	3	0	3	-75.406
0.47	1	0	2	-117.181
0.47	3	0	3	-75.406
0.475	1	0	2	-117.181
0.475	3	0	3	-75.406
0.479	3	0	3	-75.406
0.48	1	0	2	-117.181
0.48	3	0	3	-75.406
0.485	1	0	2	-117.181
0.485	3	0	3	-75.406
0.49	1	0	2	-117.181
0.49	3	0	3	-75.406
0.495	1	0	2	-117.181
0.495	3	0	3	-75.406
0.5	1	0	2	-117.181
0.5	3	0	3	-75.406
0.505	1	0	2	-117.181
0.505	3	0	3	-75.406
0.51	1	0	2	-117.181
0.51	3	0	3	-75.406
0.515	1	0	2	-117.181
0.515	3	0	3	-75.406
0.52	1	0	2	-117.181
0.52	3	0	3	-75.406
0.525	1	0	2	-117.181
0.525	3	0	3	-75.406
0.53	1	0	2	-117.181
0.53	3	0	3	-75.406
0.535	1	0	2	-117.181
0.535	3	0	3	-75.406
0.536	1	0	2	-117.181
0.54	1	0	2	-117.181
0.54	3	0	3	-75.406
0.545	1	0	2	-117.181
0.545	3	0	3	-75.406
0.55	1	0	2	-117.181
0.55	3	0	3	-75.406
0.555	1	0	2	-117.181
0.555	3	0	3	-75.406
0.559	3	0	3	-75.406
0.56	1	0	2	-117.181
0.56	3	0	3	-75.406
0.565	1	0	2	-117.181
0.565	3	0	3	-75.406
0.57	1	0	2	-117.181
0.57	3	0	3	-75.406
0.575	1	0	2	-117.181
0.575	3	0	3	-75.406
0.58	1	0	2	-117.181
0.58	3	0	3	-75.406
0.585	1	0	2	-117.181
0.585	3	0	3	-75.406
0.59	1	0	2	-117.181
0.59	3	0	3	-75.406
0.595	1	0	2	-117.181
0.595	3	0	3	-75.406
0.6	1	0	2	-117.181
0.6	3	0	3	-75.406
0.605	1	0	2	-117.181
0.605	3	0	3	-75.406
0.61	1	0	2	-117.181
0.61	3	0	3	-75.406
0.615	1	0	2	-117.181
0.615	3	0	3	-75.406
0.616	1	0	2	-117.181
0.62	1	0	2	-117.181
0.62	3	0	3	-75.406
0.625	1	0	2	-117.181
0.625	3	0	3	-75.406
0.63	1	0	2	-117.181
0.63	3	0	3	-75.406
0.635	1	0	2	-117.181
0.635	3	0	3	-75.406
0.639	3	0	3	-75.406
0.64	1	0	2	-117.181
0.64	3	0	3	-75.406
0.645	1	0	2	-117.181
0.645	3	0	3	-75.406
0.65	1	0	2	-117.181
0.65	3	0	3	-75.406
0.655	1	0	2	-117.181
0.655	3	0	3	-75.406
0.66	1	0	2	-117.181
0.66	3	0	3	-75.406
0.665	1	0	2	-117.181
0.665	3	0	3	-75.406
0.67	1	0	2	-117.181
0.67	3	0	3	-75.406
0.675	1	0	2	-117.181
0.675	3	0	3	-75.406
0.68	1	0	2	-117.181
0.68	3	0	3	-75.406
0.685	1	0	2	-117.181
0.685	3	0	3	-75.406
0.69	1	0	2	-117.181
0.69	3	0	3	-75.406
0.695	1	0	2	-117.181
0.695	3	0	3	-75.406
0.696	1	0	2	-117.181
0.7	1	0	2	-117.181
0.7	3	0	3	-75.406
0.705	1	0	2	-117.181
0.705	3	0	3	-75.406
0.71	1	0	2	-117.181
0.71	3	0	3	-75.406
0.715	1	0	2	-117.181
0.715	3	0	3	-75.406
0.719	3	0	3	-75.406
0.72	1	0	2	-117.181
0.72	3	0	3	-75.406
0.725	1	0	2	-117.181
0.725	3	0	3	-75.406
0.73	1	0	2	-117.181
0.73	3	0	3	-75.406
0.735	1	0	2	-117.181
0.735	3	0	3	-75.406
0.74	1	0	2	-117.181
0.74	3	0	3	-75.406
0.745	1	0	2	-117.181
0.745	3	0	3	-75.406
0.75	1	0	2	-117.181
0.75	3	0	3	-75.406
0.755	1	0	2	-117.181
0.755	3	0	3	-75.406
0.76	1	0	2	-117.181
0.76	3	0	3	-75.406
0.765	1	0	2	-117.181
0.765	3	0	3	-75.406
0.77	1	0	2	-117.181
0.77	3	0	3	-75.406
0.775	1	0	2	-117.181
0.775	3	0	3	-75.406
0.776	1	0	2	-117.181
0.78	1	0	2	-117.181
0.78	3	0	3	-75.406
0.785	1	0	2	-117.181
0.785	3	0	3	-75.406
0.79	1	0	2	-117.181
0.79	3	0	3	-75.406
0.795	1	0	2	-117.181
0.795	3	0	3	-75.406
