Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.413929	DL	41	3	0	1	12	1	0	1	1404	0	1	0	-11.0268	0	1	1
0.413929	DL	41	3	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.414929	DL	41	4	0	1	12	1	0	1	1404	0	1	0	-11.0268	0	1	1
0.414929	DL	41	4	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1404	0	1	0	-11.0268	0	1	1
0.415929	DL	41	5	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1404	0	1	0	-11.0268	0	1	1
0.416929	DL	41	6	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.417929	DL	41	7	0	1	12	1	0	1	1404	0	1	0	-11.0268	0	1	1
0.417929	DL	41	7	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.418929	DL	41	8	0	1	12	1	0	1	1404	0	1	1	-11.0268	0	1	1
0.418929	DL	41	8	0	1	12	3	0	1	1404	0	1	0	38.6167	15	0	0
0.419143	DL	41	9	0	1	1	3	0	1	4030	28	1	0	38.6167	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	1404	0	1	1	29.2314	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1404	0	1	1	29.6093	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1404	0	1	1	29.6093	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1404	0	1	1	29.6093	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1404	0	1	2	29.6093	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	1404	0	1	0	29.6093	15	0	0
0.425143	DL	42	5	0	1	1	1	0	1	4030	28	1	0	29.6093	15	0	0
