Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0588571	UE  PHY Txed	5	8	0	1	1	0	SRS
0.0818571	UE  PHY Txed	8	1	0	3	1	0	SRS
0.138857	UE  PHY Txed	13	8	0	1	1	0	SRS
0.161857	UE  PHY Txed	16	1	0	3	1	0	SRS
0.218857	UE  PHY Txed	21	8	0	1	1	0	SRS
0.241857	UE  PHY Txed	24	1	0	3	1	0	SRS
0.298857	UE  PHY Txed	29	8	0	1	1	0	SRS
0.321857	UE  PHY Txed	32	1	0	3	1	0	SRS
0.378857	UE  PHY Txed	37	8	0	1	1	0	SRS
0.401857	UE  PHY Txed	40	1	0	3	1	0	SRS
0.415929	UE  PHY Txed	41	5	0	1	0	0	DL_HARQ
0.415929	UE  PHY Txed	41	5	0	3	0	0	DL_HARQ
0.416929	UE  PHY Txed	41	6	0	1	0	0	DL_CQI
0.416929	UE  PHY Txed	41	6	0	1	0	0	DL_HARQ
0.416929	UE  PHY Txed	41	6	0	3	0	0	DL_CQI
0.416929	UE  PHY Txed	41	6	0	3	0	0	DL_HARQ
0.417929	UE  PHY Txed	41	7	0	1	0	0	DL_CQI
0.417929	UE  PHY Txed	41	7	0	1	0	0	DL_HARQ
0.417929	UE  PHY Txed	41	7	0	3	0	0	DL_CQI
0.417929	UE  PHY Txed	41	7	0	3	0	0	DL_HARQ
0.418929	UE  PHY Txed	41	8	0	1	0	0	DL_CQI
0.418929	UE  PHY Txed	41	8	0	1	0	0	DL_HARQ
0.418929	UE  PHY Txed	41	8	0	3	0	0	DL_CQI
0.418929	UE  PHY Txed	41	8	0	3	0	0	DL_HARQ
0.419929	UE  PHY Txed	41	9	0	3	0	0	DL_CQI
0.419929	UE  PHY Txed	41	9	0	3	0	0	DL_HARQ
0.419929	UE  PHY Txed	41	9	0	1	0	0	DL_CQI
0.419929	UE  PHY Txed	41	9	0	1	0	0	DL_HARQ
0.420929	UE  PHY Txed	42	0	0	3	0	0	DL_CQI
0.420929	UE  PHY Txed	42	0	0	3	0	0	DL_HARQ
0.420929	UE  PHY Txed	42	0	0	1	0	0	DL_CQI
0.420929	UE  PHY Txed	42	0	0	1	0	0	DL_HARQ
0.421929	UE  PHY Txed	42	1	0	3	0	0	DL_CQI
0.421929	UE  PHY Txed	42	1	0	3	0	0	DL_HARQ
0.421929	UE  PHY Txed	42	1	0	1	0	0	DL_CQI
0.421929	UE  PHY Txed	42	1	0	1	0	0	DL_HARQ
0.422929	UE  PHY Txed	42	2	0	3	0	0	DL_CQI
0.422929	UE  PHY Txed	42	2	0	1	0	0	DL_CQI
0.422929	UE  PHY Txed	42	2	0	1	0	0	DL_HARQ
0.423929	UE  PHY Txed	42	3	0	1	0	0	DL_CQI
0.423929	UE  PHY Txed	42	3	0	1	0	0	DL_HARQ
0.424929	UE  PHY Txed	42	4	0	1	0	0	DL_CQI
0.424929	UE  PHY Txed	42	4	0	1	0	0	DL_HARQ
0.425929	UE  PHY Txed	42	5	0	1	0	0	DL_CQI
0.425929	UE  PHY Txed	42	5	0	1	0	0	DL_HARQ
0.426929	UE  PHY Txed	42	6	0	1	0	0	DL_CQI
0.426929	UE  PHY Txed	42	6	0	1	0	0	DL_HARQ
0.427929	UE  PHY Txed	42	7	0	1	0	0	DL_CQI
0.427929	UE  PHY Txed	42	7	0	1	0	0	DL_HARQ
0.428929	UE  PHY Txed	42	8	0	1	0	0	DL_CQI
0.458857	UE  PHY Txed	45	8	0	1	1	0	SRS
0.481857	UE  PHY Txed	48	1	0	3	1	0	SRS
0.538857	UE  PHY Txed	53	8	0	1	1	0	SRS
0.561857	UE  PHY Txed	56	1	0	3	1	0	SRS
0.618857	UE  PHY Txed	61	8	0	1	1	0	SRS
0.641857	UE  PHY Txed	64	1	0	3	1	0	SRS
0.698857	UE  PHY Txed	69	8	0	1	1	0	SRS
0.721857	UE  PHY Txed	72	1	0	3	1	0	SRS
0.778857	UE  PHY Txed	77	8	0	1	1	0	SRS
0.801857	UE  PHY Txed	80	1	0	3	1	0	SRS
0.858857	UE  PHY Txed	85	8	0	1	1	0	SRS
0.881857	UE  PHY Txed	88	1	0	3	1	0	SRS
0.938857	UE  PHY Txed	93	8	0	1	1	0	SRS
0.961857	UE  PHY Txed	96	1	0	3	1	0	SRS
1.01886	UE  PHY Txed	101	8	0	1	1	0	SRS
1.04186	UE  PHY Txed	104	1	0	3	1	0	SRS
1.09886	UE  PHY Txed	109	8	0	1	1	0	SRS
1.12186	UE  PHY Txed	112	1	0	3	1	0	SRS
1.17886	UE  PHY Txed	117	8	0	1	1	0	SRS
1.20186	UE  PHY Txed	120	1	0	3	1	0	SRS
1.25886	UE  PHY Txed	125	8	0	1	1	0	SRS
1.28186	UE  PHY Txed	128	1	0	3	1	0	SRS
1.33886	UE  PHY Txed	133	8	0	1	1	0	SRS
1.36186	UE  PHY Txed	136	1	0	3	1	0	SRS
1.41886	UE  PHY Txed	141	8	0	1	1	0	SRS
1.44186	UE  PHY Txed	144	1	0	3	1	0	SRS
1.49886	UE  PHY Txed	149	8	0	1	1	0	SRS
1.52186	UE  PHY Txed	152	1	0	3	1	0	SRS
1.57886	UE  PHY Txed	157	8	0	1	1	0	SRS
1.60186	UE  PHY Txed	160	1	0	3	1	0	SRS
1.65886	UE  PHY Txed	165	8	0	1	1	0	SRS
1.68186	UE  PHY Txed	168	1	0	3	1	0	SRS
1.73886	UE  PHY Txed	173	8	0	1	1	0	SRS
1.76186	UE  PHY Txed	176	1	0	3	1	0	SRS
1.81886	UE  PHY Txed	181	8	0	1	1	0	SRS
1.84186	UE  PHY Txed	184	1	0	3	1	0	SRS
1.89886	UE  PHY Txed	189	8	0	1	1	0	SRS
1.92186	UE  PHY Txed	192	1	0	3	1	0	SRS
1.97886	UE  PHY Txed	197	8	0	1	1	0	SRS
2.00186	UE  PHY Txed	200	1	0	3	1	0	SRS
2.05886	UE  PHY Txed	205	8	0	1	1	0	SRS
2.08186	UE  PHY Txed	208	1	0	3	1	0	SRS
2.13886	UE  PHY Txed	213	8	0	1	1	0	SRS
2.16186	UE  PHY Txed	216	1	0	3	1	0	SRS
2.21886	UE  PHY Txed	221	8	0	1	1	0	SRS
2.24186	UE  PHY Txed	224	1	0	3	1	0	SRS
2.29886	UE  PHY Txed	229	8	0	1	1	0	SRS
2.32186	UE  PHY Txed	232	1	0	3	1	0	SRS
2.37886	UE  PHY Txed	237	8	0	1	1	0	SRS
2.40186	UE  PHY Txed	240	1	0	3	1	0	SRS
2.45886	UE  PHY Txed	245	8	0	1	1	0	SRS
2.48186	UE  PHY Txed	248	1	0	3	1	0	SRS
2.53886	UE  PHY Txed	253	8	0	1	1	0	SRS
2.56186	UE  PHY Txed	256	1	0	3	1	0	SRS
2.61886	UE  PHY Txed	261	8	0	1	1	0	SRS
