Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	2	-117.181
0.0179286	3	0	3	-75.406
0.0588571	1	0	2	-117.181
0.0818571	3	0	3	-75.406
0.138857	1	0	2	-117.181
0.161857	3	0	3	-75.406
0.218857	1	0	2	-117.181
0.241857	3	0	3	-75.406
0.298857	1	0	2	-117.181
0.321857	3	0	3	-75.406
0.378857	1	0	2	-117.181
0.401857	3	0	3	-75.406
0.415929	1	0	2	-117.181
0.415929	3	0	3	-75.406
0.416929	1	0	2	-117.181
0.416929	3	0	3	-75.406
0.417929	1	0	2	-117.181
0.417929	3	0	3	-75.406
0.418929	1	0	2	-117.181
0.418929	3	0	3	-75.406
0.419929	3	0	3	-75.406
0.419929	1	0	2	-117.181
0.420929	3	0	3	-75.406
0.420929	1	0	2	-117.181
0.421929	3	0	3	-75.406
0.421929	1	0	2	-117.181
0.422929	3	0	3	-75.406
0.422929	1	0	2	-117.181
0.423929	1	0	2	-117.181
0.424929	1	0	2	-117.181
0.425929	1	0	2	-117.181
0.426929	1	0	2	-117.181
0.427929	1	0	2	-117.181
0.428929	1	0	2	-117.181
0.458857	1	0	2	-117.181
0.481857	3	0	3	-75.406
0.538857	1	0	2	-117.181
0.561857	3	0	3	-75.406
0.618857	1	0	2	-117.181
0.641857	3	0	3	-75.406
0.698857	1	0	2	-117.181
0.721857	3	0	3	-75.406
0.778857	1	0	2	-117.181
0.801857	3	0	3	-75.406
0.858857	1	0	2	-117.181
0.881857	3	0	3	-75.406
0.938857	1	0	2	-117.181
0.961857	3	0	3	-75.406
1.01886	1	0	2	-117.181
1.04186	3	0	3	-75.406
1.09886	1	0	2	-117.181
1.12186	3	0	3	-75.406
1.17886	1	0	2	-117.181
1.20186	3	0	3	-75.406
1.25886	1	0	2	-117.181
1.28186	3	0	3	-75.406
1.33886	1	0	2	-117.181
1.36186	3	0	3	-75.406
1.41886	1	0	2	-117.181
1.44186	3	0	3	-75.406
1.49886	1	0	2	-117.181
1.52186	3	0	3	-75.406
1.57886	1	0	2	-117.181
1.60186	3	0	3	-75.406
1.65886	1	0	2	-117.181
1.68186	3	0	3	-75.406
1.73886	1	0	2	-117.181
1.76186	3	0	3	-75.406
1.81886	1	0	2	-117.181
1.84186	3	0	3	-75.406
1.89886	1	0	2	-117.181
1.92186	3	0	3	-75.406
1.97886	1	0	2	-117.181
2.00186	3	0	3	-75.406
2.05886	1	0	2	-117.181
2.08186	3	0	3	-75.406
2.13886	1	0	2	-117.181
2.16186	3	0	3	-75.406
2.21886	1	0	2	-117.181
2.24186	3	0	3	-75.406
2.29886	1	0	2	-117.181
2.32186	3	0	3	-75.406
2.37886	1	0	2	-117.181
2.40186	3	0	3	-75.406
2.45886	1	0	2	-117.181
2.48186	3	0	3	-75.406
2.53886	1	0	2	-117.181
2.56186	3	0	3	-75.406
2.61886	1	0	2	-117.181
2.64186	3	0	3	-75.406
2.69886	1	0	2	-117.181
2.72186	3	0	3	-75.406
2.77886	1	0	2	-117.181
2.80186	3	0	3	-75.406
2.85886	1	0	2	-117.181
2.88186	3	0	3	-75.406
2.93886	1	0	2	-117.181
2.96186	3	0	3	-75.406
3.01886	1	0	2	-117.181
3.04186	3	0	3	-75.406
3.09886	1	0	2	-117.181
3.12186	3	0	3	-75.406
3.17886	1	0	2	-117.181
3.20186	3	0	3	-75.406
3.25886	1	0	2	-117.181
3.28186	3	0	3	-75.406
3.33886	1	0	2	-117.181
3.36186	3	0	3	-75.406
3.41886	1	0	2	-117.181
3.44186	3	0	3	-75.406
3.49886	1	0	2	-117.181
3.52186	3	0	3	-75.406
3.57886	1	0	2	-117.181
3.60186	3	0	3	-75.406
3.65886	1	0	2	-117.181
3.68186	3	0	3	-75.406
3.73886	1	0	2	-117.181
3.76186	3	0	3	-75.406
3.81886	1	0	2	-117.181
3.84186	3	0	3	-75.406
3.89886	1	0	2	-117.181
3.92186	3	0	3	-75.406
3.97886	1	0	2	-117.181
4.00186	3	0	3	-75.406
4.05886	1	0	2	-117.181
4.08186	3	0	3	-75.406
4.13886	1	0	2	-117.181
4.16186	3	0	3	-75.406
4.21886	1	0	2	-117.181
4.24186	3	0	3	-75.406
4.29886	1	0	2	-117.181
4.32186	3	0	3	-75.406
4.37886	1	0	2	-117.181
4.40186	3	0	3	-75.406
4.45886	1	0	2	-117.181
4.48186	3	0	3	-75.406
4.53886	1	0	2	-117.181
4.56186	3	0	3	-75.406
4.61886	1	0	2	-117.181
4.64186	3	0	3	-75.406
4.69886	1	0	2	-117.181
4.72186	3	0	3	-75.406
4.77886	1	0	2	-117.181
4.80186	3	0	3	-75.406
4.85886	1	0	2	-117.181
4.88186	3	0	3	-75.406
4.93886	1	0	2	-117.181
4.96186	3	0	3	-75.406
5.01886	1	0	2	-117.181
5.04186	3	0	3	-75.406
5.09886	1	0	2	-117.181
5.12186	3	0	3	-75.406
5.17886	1	0	2	-117.181
5.20186	3	0	3	-75.406
5.25886	1	0	2	-117.181
5.28186	3	0	3	-75.406
5.33886	1	0	2	-117.181
5.36186	3	0	3	-75.406
5.41886	1	0	2	-117.181
5.44186	3	0	3	-75.406
5.49886	1	0	2	-117.181
5.52186	3	0	3	-75.406
5.57886	1	0	2	-117.181
5.60186	3	0	3	-75.406
5.65886	1	0	2	-117.181
5.68186	3	0	3	-75.406
5.73886	1	0	2	-117.181
5.76186	3	0	3	-75.406
5.81886	1	0	2	-117.181
5.84186	3	0	3	-75.406
5.89886	1	0	2	-117.181
5.92186	3	0	3	-75.406
5.97886	1	0	2	-117.181
6.00186	3	0	3	-75.406
6.05886	1	0	2	-117.181
6.08186	3	0	3	-75.406
6.13886	1	0	2	-117.181
6.16186	3	0	3	-75.406
6.21886	1	0	2	-117.181
6.24186	3	0	3	-75.406
6.29886	1	0	2	-117.181
6.32186	3	0	3	-75.406
6.37886	1	0	2	-117.181
6.40186	3	0	3	-75.406
6.45886	1	0	2	-117.181
6.48186	3	0	3	-75.406
6.53886	1	0	2	-117.181
6.56186	3	0	3	-75.406
6.61886	1	0	2	-117.181
6.64186	3	0	3	-75.406
6.69886	1	0	2	-117.181
6.72186	3	0	3	-75.406
6.77886	1	0	2	-117.181
6.80186	3	0	3	-75.406
6.85886	1	0	2	-117.181
6.88186	3	0	3	-75.406
6.93886	1	0	2	-117.181
6.96186	3	0	3	-75.406
7.01886	1	0	2	-117.181
7.04186	3	0	3	-75.406
7.09886	1	0	2	-117.181
7.12186	3	0	3	-75.406
7.17886	1	0	2	-117.181
7.20186	3	0	3	-75.406
7.25886	1	0	2	-117.181
7.28186	3	0	3	-75.406
7.33886	1	0	2	-117.181
7.36186	3	0	3	-75.406
7.41886	1	0	2	-117.181
7.44186	3	0	3	-75.406
7.49886	1	0	2	-117.181
7.52186	3	0	3	-75.406
7.57886	1	0	2	-117.181
7.60186	3	0	3	-75.406
7.65886	1	0	2	-117.181
7.68186	3	0	3	-75.406
7.73886	1	0	2	-117.181
7.76186	3	0	3	-75.406
7.81886	1	0	2	-117.181
7.84186	3	0	3	-75.406
7.89886	1	0	2	-117.181
7.92186	3	0	3	-75.406
7.97886	1	0	2	-117.181
8.00186	3	0	3	-75.406
8.05886	1	0	2	-117.181
8.08186	3	0	3	-75.406
8.13886	1	0	2	-117.181
8.16186	3	0	3	-75.406
8.21886	1	0	2	-117.181
8.24186	3	0	3	-75.406
8.29886	1	0	2	-117.181
8.32186	3	0	3	-75.406
8.37886	1	0	2	-117.181
8.40186	3	0	3	-75.406
8.45886	1	0	2	-117.181
8.48186	3	0	3	-75.406
8.53886	1	0	2	-117.181
8.56186	3	0	3	-75.406
8.61886	1	0	2	-117.181
8.64186	3	0	3	-75.406
8.69886	1	0	2	-117.181
8.72186	3	0	3	-75.406
8.77886	1	0	2	-117.181
8.80186	3	0	3	-75.406
8.85886	1	0	2	-117.181
8.88186	3	0	3	-75.406
8.93886	1	0	2	-117.181
8.96186	3	0	3	-75.406
9.01886	1	0	2	-117.181
9.04186	3	0	3	-75.406
9.09886	1	0	2	-117.181
9.12186	3	0	3	-75.406
9.17886	1	0	2	-117.181
9.20186	3	0	3	-75.406
9.25886	1	0	2	-117.181
9.28186	3	0	3	-75.406
9.33886	1	0	2	-117.181
9.36186	3	0	3	-75.406
9.41886	1	0	2	-117.181
9.44186	3	0	3	-75.406
9.49886	1	0	2	-117.181
9.52186	3	0	3	-75.406
9.57886	1	0	2	-117.181
9.60186	3	0	3	-75.406
9.65886	1	0	2	-117.181
9.68186	3	0	3	-75.406
9.73886	1	0	2	-117.181
9.76186	3	0	3	-75.406
9.81886	1	0	2	-117.181
9.84186	3	0	3	-75.406
9.89886	1	0	2	-117.181
9.92186	3	0	3	-75.406
9.97886	1	0	2	-117.181
10.0019	3	0	3	-75.406
10.0589	1	0	2	-117.181
10.0819	3	0	3	-75.406
10.1389	1	0	2	-117.181
10.1619	3	0	3	-75.406
10.2189	1	0	2	-117.181
10.2419	3	0	3	-75.406
10.2989	1	0	2	-117.181
10.3219	3	0	3	-75.406
10.3789	1	0	2	-117.181
10.4019	3	0	3	-75.406
10.4589	1	0	2	-117.181
10.4819	3	0	3	-75.406
10.5389	1	0	2	-117.181
10.5619	3	0	3	-75.406
10.6189	1	0	2	-117.181
10.6419	3	0	3	-75.406
10.6989	1	0	2	-117.181
10.7219	3	0	3	-75.406
10.7789	1	0	2	-117.181
10.8019	3	0	3	-75.406
10.8589	1	0	2	-117.181
10.8819	3	0	3	-75.406
10.9389	1	0	2	-117.181
10.9619	3	0	3	-75.406
11.0189	1	0	2	-117.181
11.0419	3	0	3	-75.406
11.0989	1	0	2	-117.181
11.1219	3	0	3	-75.406
11.1789	1	0	2	-117.181
11.2019	3	0	3	-75.406
11.2589	1	0	2	-117.181
11.2819	3	0	3	-75.406
11.3389	1	0	2	-117.181
11.3619	3	0	3	-75.406
11.4189	1	0	2	-117.181
11.4419	3	0	3	-75.406
11.4989	1	0	2	-117.181
11.5219	3	0	3	-75.406
11.5789	1	0	2	-117.181
11.6019	3	0	3	-75.406
11.6589	1	0	2	-117.181
11.6819	3	0	3	-75.406
11.7389	1	0	2	-117.181
11.7619	3	0	3	-75.406
11.8189	1	0	2	-117.181
11.8419	3	0	3	-75.406
11.8989	1	0	2	-117.181
11.9219	3	0	3	-75.406
11.9789	1	0	2	-117.181
12.0019	3	0	3	-75.406
12.0589	1	0	2	-117.181
12.0819	3	0	3	-75.406
12.1389	1	0	2	-117.181
12.1619	3	0	3	-75.406
12.2189	1	0	2	-117.181
12.2419	3	0	3	-75.406
12.2989	1	0	2	-117.181
12.3219	3	0	3	-75.406
12.3789	1	0	2	-117.181
12.4019	3	0	3	-75.406
12.4589	1	0	2	-117.181
12.4819	3	0	3	-75.406
12.5389	1	0	2	-117.181
12.5619	3	0	3	-75.406
12.6189	1	0	2	-117.181
12.6419	3	0	3	-75.406
12.6989	1	0	2	-117.181
12.7219	3	0	3	-75.406
12.7789	1	0	2	-117.181
12.8019	3	0	3	-75.406
12.8589	1	0	2	-117.181
12.8819	3	0	3	-75.406
12.9389	1	0	2	-117.181
12.9619	3	0	3	-75.406
13.0189	1	0	2	-117.181
13.0419	3	0	3	-75.406
13.0989	1	0	2	-117.181
13.1219	3	0	3	-75.406
13.1789	1	0	2	-117.181
13.2019	3	0	3	-75.406
13.2589	1	0	2	-117.181
13.2819	3	0	3	-75.406
13.3389	1	0	2	-117.181
13.3619	3	0	3	-75.406
13.4189	1	0	2	-117.181
13.4419	3	0	3	-75.406
13.4989	1	0	2	-117.181
13.5219	3	0	3	-75.406
13.5789	1	0	2	-117.181
13.6019	3	0	3	-75.406
13.6589	1	0	2	-117.181
13.6819	3	0	3	-75.406
13.7389	1	0	2	-117.181
13.7619	3	0	3	-75.406
13.8189	1	0	2	-117.181
13.8419	3	0	3	-75.406
13.8989	1	0	2	-117.181
13.9219	3	0	3	-75.406
13.9789	1	0	2	-117.181
14.0019	3	0	3	-75.406
14.0589	1	0	2	-117.181
14.0819	3	0	3	-75.406
14.1389	1	0	2	-117.181
14.1619	3	0	3	-75.406
14.2189	1	0	2	-117.181
14.2419	3	0	3	-75.406
14.2989	1	0	2	-117.181
14.3219	3	0	3	-75.406
14.3789	1	0	2	-117.181
14.4019	3	0	3	-75.406
14.4589	1	0	2	-117.181
14.4819	3	0	3	-75.406
14.5389	1	0	2	-117.181
14.5619	3	0	3	-75.406
14.6189	1	0	2	-117.181
14.6419	3	0	3	-75.406
14.6989	1	0	2	-117.181
14.7219	3	0	3	-75.406
14.7789	1	0	2	-117.181
14.8019	3	0	3	-75.406
14.8589	1	0	2	-117.181
14.8819	3	0	3	-75.406
14.9389	1	0	2	-117.181
14.9619	3	0	3	-75.406
15.0189	1	0	2	-117.181
15.0419	3	0	3	-75.406
15.0989	1	0	2	-117.181
15.1219	3	0	3	-75.406
15.1789	1	0	2	-117.181
15.2019	3	0	3	-75.406
15.2589	1	0	2	-117.181
15.2819	3	0	3	-75.406
15.3389	1	0	2	-117.181
15.3619	3	0	3	-75.406
15.4189	1	0	2	-117.181
15.4419	3	0	3	-75.406
15.4989	1	0	2	-117.181
15.5219	3	0	3	-75.406
15.5789	1	0	2	-117.181
15.6019	3	0	3	-75.406
15.6589	1	0	2	-117.181
15.6819	3	0	3	-75.406
15.7389	1	0	2	-117.181
15.7619	3	0	3	-75.406
15.8189	1	0	2	-117.181
15.8419	3	0	3	-75.406
15.8989	1	0	2	-117.181
15.9219	3	0	3	-75.406
15.9789	1	0	2	-117.181
16.0019	3	0	3	-75.406
16.0589	1	0	2	-117.181
16.0819	3	0	3	-75.406
16.1389	1	0	2	-117.181
16.1619	3	0	3	-75.406
16.2189	1	0	2	-117.181
16.2419	3	0	3	-75.406
16.2989	1	0	2	-117.181
16.3219	3	0	3	-75.406
16.3789	1	0	2	-117.181
16.4019	3	0	3	-75.406
16.4589	1	0	2	-117.181
16.4819	3	0	3	-75.406
16.5389	1	0	2	-117.181
16.5619	3	0	3	-75.406
16.6189	1	0	2	-117.181
16.6419	3	0	3	-75.406
16.6989	1	0	2	-117.181
16.7219	3	0	3	-75.406
16.7789	1	0	2	-117.181
16.8019	3	0	3	-75.406
16.8589	1	0	2	-117.181
16.8819	3	0	3	-75.406
16.9389	1	0	2	-117.181
16.9619	3	0	3	-75.406
17.0189	1	0	2	-117.181
17.0419	3	0	3	-75.406
17.0989	1	0	2	-117.181
17.1219	3	0	3	-75.406
17.1789	1	0	2	-117.181
17.2019	3	0	3	-75.406
17.2589	1	0	2	-117.181
17.2819	3	0	3	-75.406
17.3389	1	0	2	-117.181
17.3619	3	0	3	-75.406
17.4189	1	0	2	-117.181
17.4419	3	0	3	-75.406
17.4989	1	0	2	-117.181
17.5219	3	0	3	-75.406
17.5789	1	0	2	-117.181
17.6019	3	0	3	-75.406
17.6589	1	0	2	-117.181
17.6819	3	0	3	-75.406
17.7389	1	0	2	-117.181
17.7619	3	0	3	-75.406
17.8189	1	0	2	-117.181
17.8419	3	0	3	-75.406
17.8989	1	0	2	-117.181
17.9219	3	0	3	-75.406
17.9789	1	0	2	-117.181
18.0019	3	0	3	-75.406
18.0589	1	0	2	-117.181
18.0819	3	0	3	-75.406
18.1389	1	0	2	-117.181
18.1619	3	0	3	-75.406
18.2189	1	0	2	-117.181
18.2419	3	0	3	-75.406
18.2989	1	0	2	-117.181
18.3219	3	0	3	-75.406
18.3789	1	0	2	-117.181
18.4019	3	0	3	-75.406
18.4589	1	0	2	-117.181
18.4819	3	0	3	-75.406
18.5389	1	0	2	-117.181
18.5619	3	0	3	-75.406
18.6189	1	0	2	-117.181
18.6419	3	0	3	-75.406
18.6989	1	0	2	-117.181
18.7219	3	0	3	-75.406
18.7789	1	0	2	-117.181
18.8019	3	0	3	-75.406
18.8589	1	0	2	-117.181
18.8819	3	0	3	-75.406
18.9389	1	0	2	-117.181
18.9619	3	0	3	-75.406
19.0189	1	0	2	-117.181
19.0419	3	0	3	-75.406
19.0989	1	0	2	-117.181
19.1219	3	0	3	-75.406
19.1789	1	0	2	-117.181
19.2019	3	0	3	-75.406
19.2589	1	0	2	-117.181
19.2819	3	0	3	-75.406
19.3389	1	0	2	-117.181
19.3619	3	0	3	-75.406
19.4189	1	0	2	-117.181
19.4419	3	0	3	-75.406
19.4989	1	0	2	-117.181
19.5219	3	0	3	-75.406
19.5789	1	0	2	-117.181
19.6019	3	0	3	-75.406
19.6589	1	0	2	-117.181
19.6819	3	0	3	-75.406
19.7389	1	0	2	-117.181
19.7619	3	0	3	-75.406
19.8189	1	0	2	-117.181
19.8419	3	0	3	-75.406
19.8989	1	0	2	-117.181
19.9219	3	0	3	-75.406
19.9789	1	0	2	-117.181
20.0019	3	0	3	-75.406
20.0589	1	0	2	-117.181
20.0819	3	0	3	-75.406
20.1389	1	0	2	-117.181
20.1619	3	0	3	-75.406
20.2189	1	0	2	-117.181
20.2419	3	0	3	-75.406
20.2989	1	0	2	-117.181
20.3219	3	0	3	-75.406
20.3789	1	0	2	-117.181
20.4019	3	0	3	-75.406
20.4589	1	0	2	-117.181
20.4819	3	0	3	-75.406
20.5389	1	0	2	-117.181
20.5619	3	0	3	-75.406
20.6189	1	0	2	-117.181
20.6419	3	0	3	-75.406
20.6989	1	0	2	-117.181
20.7219	3	0	3	-75.406
20.7789	1	0	2	-117.181
20.8019	3	0	3	-75.406
20.8589	1	0	2	-117.181
20.8819	3	0	3	-75.406
20.9389	1	0	2	-117.181
20.9619	3	0	3	-75.406
21.0189	1	0	2	-117.181
21.0419	3	0	3	-75.406
21.0989	1	0	2	-117.181
21.1219	3	0	3	-75.406
21.1789	1	0	2	-117.181
21.2019	3	0	3	-75.406
21.2589	1	0	2	-117.181
21.2819	3	0	3	-75.406
21.3389	1	0	2	-117.181
21.3619	3	0	3	-75.406
21.4189	1	0	2	-117.181
21.4419	3	0	3	-75.406
21.4989	1	0	2	-117.181
21.5219	3	0	3	-75.406
21.5789	1	0	2	-117.181
21.6019	3	0	3	-75.406
21.6589	1	0	2	-117.181
21.6819	3	0	3	-75.406
21.7389	1	0	2	-117.181
21.7619	3	0	3	-75.406
21.8189	1	0	2	-117.181
21.8419	3	0	3	-75.406
21.8989	1	0	2	-117.181
21.9219	3	0	3	-75.406
21.9789	1	0	2	-117.181
22.0019	3	0	3	-75.406
